freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
2.08929613089541011E2	1.38184178952457826E-3
2.13796208954469424E2	1.38184150301639863E-3
2.18776162399313368E2	1.38184116668548818E-3
2.23872113861306943E2	1.38184085018571046E-3
2.29086765281368177E2	1.38184053334268642E-3
2.34422881536703986E2	1.38184018324915558E-3
2.39883291906784857E2	1.38183978522074669E-3
2.45470891573466110E2	1.38183941988169545E-3
2.51188643156051672E2	1.38183893995441376E-3
2.57039578282113990E2	1.38183850935813313E-3
2.63026799194903260E2	1.38183809520487744E-3
2.69153480398197686E2	1.38183762192268311E-3
2.75422870339467440E2	1.38183714084996234E-3
2.81838293132244644E2	1.38183659938330616E-3
2.88403150318612145E2	1.38183607217099991E-3
2.95120922672746300E2	1.38183549951524132E-3
3.01995172046469618E2	1.38183490315622737E-3
3.09029543257791506E2	1.38183426329175130E-3
3.16227766023439072E2	1.38183361118804982E-3
3.23593656936402407E2	1.38183293701440402E-3
3.31131121489542801E2	1.38183225168526347E-3
3.38844156146336406E2	1.38183147931434558E-3
3.46736850459852386E2	1.38183065766256297E-3
3.54813389241087851E2	1.38182989222598485E-3
3.63078054777810388E2	1.38182901774517619E-3
3.71535229105083298E2	1.38182812206025218E-3
3.80189396328678919E2	1.38182717686691747E-3
3.89045145002610671E2	1.38182619203831569E-3
3.98107170562045010E2	1.38182516976504943E-3
4.07380277812883929E2	1.38182412033292823E-3
4.16869383479335731E2	1.38182293928911815E-3
4.26579518810828073E2	1.38182177744394252E-3
4.36515832249642521E2	1.38182051770617353E-3
4.46683592160687049E2	1.38181923748549051E-3
4.57088189624852781E2	1.38181787040429405E-3
4.67735141297436208E2	1.38181646851641338E-3
4.78630092333143420E2	1.38181494104678881E-3
4.89778819379225183E2	1.38181340912075168E-3
5.01187233638332241E2	1.38181174429103248E-3
5.12861384002713017E2	1.38181003114269374E-3
5.24807460261416381E2	1.38180824445486983E-3
5.37031796382199822E2	1.38180635768384907E-3
5.49540873869882684E2	1.38180438979300746E-3
5.62341325202926345E2	1.38180234435557336E-3
5.75439937350061381E2	1.38180016408996487E-3
5.88843655368829211E2	1.38179793178788168E-3
6.02559586087942289E2	1.38179553236165020E-3
6.16595001875419957E2	1.38179306942141511E-3
6.30957344494493277E2	1.38179045041032289E-3
6.45654229049327189E2	1.38178775704791090E-3
6.60693448022648955E2	1.38178492294500854E-3
6.76082975407425568E2	1.38178193479022937E-3
6.91830970934781231E2	1.38177880257048780E-3
7.07945784400394018E2	1.38177554534364844E-3
7.24435960091667930E2	1.38177214609203869E-3
7.41310241318028140E2	1.38176856839301920E-3
7.58577575046738151E2	1.38176481925420647E-3
7.76247116646701318E2	1.38176088889308968E-3
7.94328234742758088E2	1.38175678280738978E-3
8.12830516183054463E2	1.38175246171472654E-3
8.31763771122117390E2	1.38174796627431995E-3
8.51138038222326543E2	1.38174328000457813E-3
8.70963589976547325E2	1.38173825401388362E-3
8.91250938154742123E2	1.38173313230384043E-3
9.12010839377449756E2	1.38172770660513500E-3
9.33254300819088556E2	1.38172202671735778E-3
9.54992586044105174E2	1.38171612524116161E-3
9.77237220979066201E2	1.38170985033262816E-3
1.00000000002385692E3	1.38170336069288058E-3
1.02329299230522763E3	1.38169652722479497E-3
1.04712854807600553E3	1.38168941288315228E-3
1.07151930526336114E3	1.38168190553836334E-3
1.09647819616960485E3	1.38167409026914823E-3
1.12201845432906566E3	1.38166586711572204E-3
1.14815362152468459E3	1.38165724649502031E-3
1.17489755496804915E3	1.38164827541245661E-3
